Locustag	Gene	FeatureType	Description
ECB_02270	insB-18	CDS	IS1 protein InsB
ECB_02271	insA-18	CDS	IS1 protein InsA
ECB_02272	vacJ	CDS	predicted lipoprotein
ECB_02273	yfdC	CDS	predicted inner membrane protein
ECB_02274	dsdC	CDS	DNA-binding transcriptional dual regulator
ECB_02275	dsdX	CDS	predicted transporter
ECB_02276	dsdA	CDS	D-serine dehydratase
ECB_02277	emrY	CDS	predicted multidrug efflux system
ECB_02278	emrK	CDS	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component
ECB_02279	evgA	CDS	DNA-binding response regulator in two-component regulatory system with EvgS
ECB_02280	evgS	CDS	hybrid sensory histidine kinase in two-component regulatory system with EvgA
ECB_02281	yfdE	CDS	predicted CoA-transferase, NAD(P)-binding
ECB_02282	yfdV	CDS	predicted transporter
ECB_02283	yfdU	CDS	hypothetical protein
ECB_02284	yfdW	CDS	formyl-coenzyme A transferase
ECB_02285	yfdX	CDS	hypothetical protein
ECB_02286	ypdI	CDS	predicted lipoprotein involved in colanic acid biosynthesis
ECB_02287	yfdY	CDS	predicted inner membrane protein
ECB_02288	ddg	CDS	lipid A biosynthesis palmitoleoyl acyltransferase
ECB_02289	yfdZ	CDS	hypothetical protein
ECB_02290	ypdA	CDS	predicted sensory kinase in two-component system with YpdB
ECB_02291	ypdB	CDS	predicted response regulator in two-component system withYpdA
ECB_02292	ypdC	CDS	predicted DNA-binding protein
ECB_02293	ypdD	CDS	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component
ECB_02294	ypdE	CDS	predicted peptidase
ECB_02295	ypdF	CDS	predicted peptidase
ECB_02296	ypdG	CDS	predicted enzyme IIC component of PTS
ECB_02297	ypdH	CDS	predicted enzyme IIB component of PTS
ECB_02298	glk	CDS	glucokinase
ECB_02299	yfeO	CDS	hypothetical protein
ECB_02300	ypeC	CDS	hypothetical protein
ECB_02301	mntH	CDS	manganese transport protein MntH
ECB_02302	nupC	CDS	nucleoside (except guanosine) transporter
ECB_02303	yfeA	CDS	predicted diguanylate cyclase
ECB_02304	yfeC	CDS	predicted DNA-binding transcriptional regulator
ECB_02305	yfeD	CDS	predicted DNA-binding transcriptional regulator
ECB_02306	gltX	CDS	glutamyl-tRNA synthetase
ECB_02307		CDS	conserved hypothetical protein
ECB_02308	yfeR	CDS	predicted DNA-binding transcriptional regulator
ECB_02309	yfeH	CDS	predicted inner membrane protein
ECB_02310	ypeB	CDS	hypothetical protein
ECB_02311	ligA	CDS	NAD-dependent DNA ligase LigA
ECB_02312	zipA	CDS	cell division protein ZipA
ECB_02313	cysZ	CDS	putative sulfate transport protein CysZ
ECB_02314	cysK	CDS	cysteine synthase A, O-acetylserine sulfhydrolase A subunit
ECB_02315	ptsH	CDS	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)
ECB_02316	ptsI	CDS	PEP-protein phosphotransferase of PTS system (enzyme I)
ECB_02317	crr	CDS	glucose-specific PTS system enzyme IIA component
ECB_02318	pdxK	CDS	pyridoxine kinase
ECB_02319	yfeK	CDS	hypothetical protein
ECB_02320	yfeS	CDS	hypothetical protein
ECB_02321	cysM	CDS	cysteine synthase B (O-acetylserine sulfhydrolase B)
ECB_02322	cysA	CDS	sulfate/thiosulfate transporter subunit
ECB_02323	cysW	CDS	sulfate/thiosulfate transporter subunit
ECB_02324	cysU	CDS	sulfate/thiosulfate transporter subunit
ECB_02325	cysP	CDS	thiosulfate transporter subunit
ECB_02326	ucpA	CDS	short chain dehydrogenase
ECB_02327	yfeT	CDS	predicted DNA-binding transcriptional regulator
ECB_02328	yfeU	CDS	N-acetylmuramic acid-6-phosphate etherase
ECB_02329	yfeV	CDS	N-acetylmuramic acid phosphotransfer permease
ECB_02330	yfeW	CDS	hypothetical protein
ECB_02331	yfeX	CDS	hypothetical protein
ECB_02332	yfeY	CDS	hypothetical protein
ECB_02333	yfeZ	CDS	predicted inner membrane protein
ECB_02334	ypeA	CDS	putative acetyltransferase
ECB_02335	amiA	CDS	N-acetylmuramoyl-l-alanine amidase I
ECB_02336	hemF	CDS	coproporphyrinogen III oxidase
ECB_02337	yfeG	CDS	predicted DNA-binding transcriptional regulator
ECB_02338	yffI	CDS	predicted carboxysome structural protein with predicted role in ethanolamine utilization
ECB_02339	eutL	CDS	predicted carboxysome structural protein with predicted role in ethanolamine utilization
ECB_02340	eutC	CDS	ethanolamine ammonia-lyase small subunit
ECB_02341	eutB	CDS	ethanolamine ammonia-lyase, large subunit, heavy chain
ECB_02342	eutA	CDS	reactivating factor for ethanolamine ammonia lyase
ECB_02343	eutH	CDS	predicted inner membrane protein
ECB_02344	eutG	CDS	predicted alcohol dehydrogenase in ethanolamine utilization
ECB_02345	eutJ	CDS	predicted chaperonin, ethanolamine utilization protein
ECB_02346	eutE	CDS	predicted aldehyde dehydrogenase, ethanolamine utilization protein
ECB_02347	cchB	CDS	predicted carboxysome structural protein, ethanolamine utilization protein
ECB_02348	cchA	CDS	predicted carboxysome structural protein, ethanolamine utilization protein
ECB_02349	eutI	CDS	predicted phosphotransacetylase subunit
ECB_02350	eutT	CDS	predicted cobalamin adenosyltransferase in ethanolamine utilization
ECB_02351	eutQ	CDS	hypothetical protein
ECB_02352	eutP	CDS	conserved hypothetical protein with nucleoside triphosphate hydrolase domain
ECB_02353	ypfE	CDS	predicted carboxysome structural protein with predicted role in ethanol utilization
ECB_02354	maeB	CDS	malic enzyme
ECB_02355	talA	CDS	transaldolase A
ECB_02356	tktB	CDS	transketolase 2, thiamin-binding
ECB_02357	ypfG	CDS	hypothetical protein
ECB_02358	yffH	CDS	predicted NUDIX hydrolase
ECB_02359	aegA	CDS	fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit
ECB_02360	narQ	CDS	sensory histidine kinase in two-component regulatory system with NarP (NarL)
ECB_02361	acrD	CDS	aminoglycoside/multidrug efflux system
ECB_02362	yffB	CDS	hypothetical protein
ECB_02363	dapE	CDS	succinyl-diaminopimelate desuccinylase
ECB_02364		CDS	hypothetical protein
ECB_02365	ypfH	CDS	predicted hydrolase
ECB_02366	ypfI	CDS	predicted hydrolase
ECB_02367	ypfJ	CDS	hypothetical protein
ECB_02368	purC	CDS	phosphoribosylaminoimidazole- succinocarboxamidesynthase
ECB_02369	nlpB	CDS	lipoprotein
ECB_02370	dapA	CDS	dihydrodipicolinate synthase
ECB_02371	gcvR	CDS	DNA-binding transcriptional repressor, regulatory protein accessory to GcvA
ECB_02372	bcp	CDS	thioredoxin-dependent thiol peroxidase
ECB_02373	hyfA	CDS	hydrogenase 4, 4Fe-4S subunit
ECB_02374	hyfB	CDS	NADH dehydrogenase subunit N
ECB_02376	hyfD	CDS	hydrogenase 4 membrane subunit
ECB_02377	hyfE	CDS	hydrogenase 4, membrane subunit
ECB_02378	hyfF	CDS	NADH dehydrogenase subunit N
ECB_02379	hyfG	CDS	hydrogenase 4, subunit
ECB_02380	hyfH	CDS	hydrogenase 4, Fe-S subunit
ECB_02381	hyfI	CDS	hydrogenase 4, Fe-S subunit
ECB_02382	hyfJ	CDS	predicted processing element hydrogenase 4
ECB_02383	hyfR	CDS	DNA-binding transcriptional activator, formate sensing
ECB_02384	focB	CDS	predicted formate transporter
ECB_02385	perM	CDS	predicted inner membrane protein
ECB_02386	yfgC	CDS	predicted peptidase
ECB_02387	yfgD	CDS	predicted oxidoreductase
ECB_02388	hda	CDS	DNA replication initiation factor
ECB_02389	uraA	CDS	uracil transporter
ECB_02390	upp	CDS	uracil phosphoribosyltransferase
ECB_02391	purM	CDS	phosphoribosylaminoimidazole synthetase
ECB_02392	purN	CDS	phosphoribosylglycinamide formyltransferase
ECB_02393	ppk	CDS	polyphosphate kinase
ECB_02394	ppx	CDS	exopolyphosphatase
ECB_02395	yfgF	CDS	predicted inner membrane protein
ECB_02396	yfgG	CDS	hypothetical protein
ECB_02397	yfgH	CDS	predicted outer membrane lipoprotein
ECB_02398	yfgI	CDS	hypothetical protein
ECB_02399	guaA	CDS	bifunctional GMP synthase/glutamine amidotransferase protein
ECB_02400	guaB	CDS	inositol-5-monophosphate dehydrogenase
ECB_02401	xseA	CDS	exodeoxyribonuclease VII large subunit
ECB_02402	yfgJ	CDS	hypothetical protein
ECB_02403	yfgK	CDS	GTP-binding protein EngA
ECB_02404	yfgL	CDS	protein assembly complex, lipoprotein component
ECB_02405	yfgM	CDS	hypothetical protein
ECB_02406	hisS	CDS	histidyl-tRNA synthetase
ECB_02407	ispG	CDS	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
ECB_02408	yfgA	CDS	hypothetical protein
ECB_02409	yfgB	CDS	predicted enzyme
ECB_02410	ndk	CDS	nucleoside diphosphate kinase
ECB_02411	pbpC	CDS	fused transglycosylase/transpeptidase
ECB_02412	yfhM	CDS	hypothetical protein
ECB_02413	sseA	CDS	3-mercaptopyruvate sulfurtransferase
ECB_02414	sseB	CDS	rhodanase-like enzyme, sulfur transfer from thiosulfate
ECB_02415	pepB	CDS	aminopeptidase B
ECB_02416	yfhJ	CDS	hypothetical protein
ECB_02417	fdx	CDS	[2Fe-2S] ferredoxin
ECB_02418	hscA	CDS	chaperone protein HscA
ECB_02419	hscB	CDS	co-chaperone HscB
ECB_02420	iscA	CDS	iron-sulfur cluster assembly protein
ECB_02421	iscU	CDS	scaffold protein
ECB_02422	iscS	CDS	cysteine desulfurase
ECB_02423	iscR	CDS	DNA-binding transcriptional repressor
ECB_02424	yfhQ	CDS	predicted methyltransferase
ECB_02425	suhB	CDS	inositol monophosphatase
ECB_02426	yfhR	CDS	predicted peptidase
ECB_02427	csiE	CDS	stationary phase inducible protein
ECB_02428	hcaT	CDS	predicted 3-phenylpropionic transporter
ECB_02429	hcaR	CDS	DNA-binding transcriptional activator of 3-phenylpropionic acid catabolism
ECB_02430	hcaE	CDS	3-phenylpropionate dioxygenase, large (alpha) subunit
ECB_02431	hcaF	CDS	3-phenylpropionate dioxygenase, small (beta) subunit
ECB_02432	hcaC	CDS	3-phenylpropionate dioxygenase, predicted ferredoxin subunit
ECB_02433	hcaB	CDS	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
ECB_02434	hcaD	CDS	phenylpropionate dioxygenase, ferredoxin reductase subunit
ECB_02435	yphA	CDS	predicted inner membrane protein
ECB_02436	yphB	CDS	hypothetical protein
ECB_02437	yphC	CDS	predicted oxidoreductase, Zn-dependent and NAD(P)-binding
ECB_02438	yphD	CDS	predicted sugar transporter subunit: membrane component of ABC superfamily
ECB_02439	yphE	CDS	fused predicted sugar transporter subunits of ABC superfamily: ATP-binding components
ECB_02440	yphF	CDS	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily
ECB_02441	yphG	CDS	hypothetical protein
ECB_02442	yphH	CDS	predicted DNA-binding transcriptional regulator
ECB_02443	glyA	CDS	serine hydroxymethyltransferase
ECB_02444	hmpA	CDS	fused nitric oxide dioxygenase/dihydropteridine reductase 2
ECB_02445	glnB	CDS	regulatory protein P-II for glutamine synthetase
ECB_02446	yfhA	CDS	predicted DNA-binding response regulator in two-component system
ECB_02447	yfhG	CDS	hypothetical protein
ECB_02448	yfhK	CDS	predicted sensory kinase in two-component system
ECB_02449	purL	CDS	phosphoribosylformylglycinamidine synthase
ECB_02451	insA-19	CDS	IS1 protein InsA
ECB_02452	insB-19	CDS	IS1 protein InsB
ECB_02453	tadA	CDS	tRNA-specific adenosine deaminase
ECB_02454	yfhB	CDS	hypothetical protein
ECB_02455	yfhH	CDS	predicted DNA-binding transcriptional regulator
ECB_02456	yfhL	CDS	predicted 4Fe-4S cluster-containing protein
ECB_02457	acpS	CDS	4'-phosphopantetheinyl transferase
ECB_02458	pdxJ	CDS	pyridoxal phosphate biosynthetic protein
ECB_02459	recO	CDS	DNA repair protein RecO
ECB_02460	era	CDS	GTP-binding protein Era
ECB_02461	rncS	CDS	ribonuclease III
ECB_02462	lepB	CDS	leader peptidase (signal peptidase I)
ECB_02463	lepA	CDS	GTP-binding protein LepA
ECB_02464	rseC	CDS	RseC protein involved in reduction of the SoxR iron-sulfur cluster
ECB_02465	rseB	CDS	periplasmic negative regulator of sigmaE
ECB_02466	rseA	CDS	anti-sigma factor
ECB_02467	rpoE	CDS	RNA polymerase, sigma 24 (sigma E) factor
ECB_02468	nadB	CDS	L-aspartate oxidase
ECB_02469	yfiC	CDS	predicted S-adenosyl-L-methionine-dependent methyltransferase
ECB_02470	srmB	CDS	ATP-dependent RNA helicase
ECB_02471	yfiE	CDS	predicted DNA-binding transcriptional regulator
ECB_02472	yfiK	CDS	neutral amino-acid efflux system
ECB_02473	yfiD	CDS	pyruvate formate lyase subunit
ECB_02474	ung	CDS	uracil-DNA glycosylase
ECB_02475	yfiF	CDS	predicted methyltransferase
ECB_02476	trxC	CDS	thioredoxin 2
ECB_02477	yfiP	CDS	hypothetical protein
ECB_02478	yfiQ	CDS	fused predicted acyl-CoA synthetase: NAD(P)-binding subunit/ATP-binding subunit
ECB_02479	pssA	CDS	phosphatidylserine synthase
ECB_02480	yfiM	CDS	hypothetical protein
ECB_02481	kgtP	CDS	alpha-ketoglutarate transporter
ECB_02482	clpB	CDS	protein disaggregation chaperone
ECB_02483	yfiH	CDS	hypothetical protein
ECB_02484	rluD	CDS	23S rRNA pseudouridine synthase
ECB_02485	yfiO	CDS	predicted lipoprotein
ECB_02486	yfiA	CDS	cold shock protein associated with 30S ribosomal subunit
ECB_02487	pheL	CDS	pheA gene leader peptide
ECB_02488	pheA	CDS	fused chorismate mutase P/prephenate dehydratase
ECB_02489	tyrA	CDS	fused chorismate mutase T/prephenate dehydrogenase
ECB_02490	aroF	CDS	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible
ECB_02491	yfiL	CDS	hypothetical protein
ECB_02492	yfiR	CDS	hypothetical protein
ECB_02493	yfiN	CDS	predicted diguanylate cyclase
ECB_02494	yfiB	CDS	predicted outer membrane lipoprotein
ECB_02495	rplS	CDS	50S ribosomal protein L19
ECB_02496	trmD	CDS	tRNA (guanine-N(1)-)-methyltransferase
ECB_02497	rimM	CDS	16S rRNA-processing protein
ECB_02498	rpsP	CDS	30S ribosomal protein S16
ECB_02499	ffh	CDS	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)
ECB_02500	ypjD	CDS	predicted inner membrane protein
ECB_02501	yfjD	CDS	predicted inner membrane protein
ECB_02502	grpE	CDS	heat shock protein
ECB_02503	ppnK	CDS	inorganic polyphosphate/ATP-NAD kinase
ECB_02504	recN	CDS	recombination and repair protein
ECB_02505	smpA	CDS	small membrane lipoprotein
ECB_02506	yfjF	CDS	hypothetical protein
ECB_02507	yfjG	CDS	hypothetical protein
ECB_02508	smpB	CDS	SsrA-binding protein
ECB_02509		CDS	Fels-2 prophage protein
ECB_02510		CDS	Recombinase
ECB_02511		CDS	ParB family protein
ECB_02512		CDS	conserved hypothetical protein
ECB_02513	insA-20	CDS	IS1 protein InsA
ECB_02514	insB-20	CDS	IS1 protein InsB
ECB_02515	csiD	CDS	hypothetical protein
ECB_02516	ygaF	CDS	predicted enzyme
ECB_02517	gabD	CDS	succinate-semialdehyde dehydrogenase I, NADP-dependent
ECB_02518	gabT	CDS	4-aminobutyrate aminotransferase
ECB_02519	gabP	CDS	gamma-aminobutyrate transporter
ECB_02520	ygaE	CDS	DNA-binding transcriptional dual regulator
ECB_02521	ygaU	CDS	hypothetical protein
ECB_02522	yqaE	CDS	predicted membrane protein
ECB_02523	ygaV	CDS	predicted DNA-binding transcriptional regulator
ECB_02524	ygaP	CDS	predicted inner membrane protein with hydrolase activity
ECB_02525	stpA	CDS	DNA binding protein, nucleoid-associated
ECB_02526	ygaW	CDS	predicted inner membrane protein
ECB_02527	ygaC	CDS	hypothetical protein
ECB_02528	ygaM	CDS	hypothetical protein
ECB_02529	nrdH	CDS	glutaredoxin-like protein
ECB_02530	nrdI	CDS	hypothetical protein
ECB_02531	nrdE	CDS	ribonucleotide-diphosphate reductase alpha subunit
ECB_02532	nrdF	CDS	ribonucleotide-diphosphate reductase beta subunit
ECB_02533	proV	CDS	glycine betaine transporter subunit
ECB_02534	proW	CDS	glycine betaine transporter subunit
ECB_02535	proX	CDS	glycine betaine transporter subunit
ECB_02536	ygaXY	CDS	predicted transporter
ECB_02537	ygaZ	CDS	predicted transporter
ECB_02538	ygaH	CDS	predicted inner membrane protein
ECB_02539	emrR	CDS	DNA-binding transcriptional repressor of microcin B17 synthesis and multidrug efflux
ECB_02540	emrA	CDS	multidrug efflux system
ECB_02541	emrB	CDS	multidrug efflux system protein
ECB_02542	ygaG	CDS	S-ribosylhomocysteinase
ECB_02543	gshA	CDS	glutamate-cysteine ligase
ECB_02544	yqaA	CDS	conserved inner membrane protein
ECB_02545	yqaB	CDS	predicted hydrolase
ECB_02546	csrA	CDS	carbon storage regulator
ECB_02547	alaS	CDS	alanyl-tRNA synthetase
ECB_02548	recX	CDS	RecA regulator RecX
ECB_02549	recA	CDS	recombinase A
ECB_02550	ygaD	CDS	competence damage-inducible protein A
ECB_02551	mltB	CDS	membrane-bound lytic murein transglycosylase B
ECB_02552	srlA	CDS	glucitol/sorbitol-specific enzyme IIC component of PTS
ECB_02553	srlE	CDS	glucitol/sorbitol-specific enzyme IIB component of PTS
ECB_02554	srlB	CDS	glucitol/sorbitol-specific enzyme IIA component of PTS
ECB_02555	srlD	CDS	3-ketoacyl-(acyl-carrier-protein) reductase
ECB_02556	gutM	CDS	DNA-binding transcriptional activator of glucitol operon
ECB_02557	srlR	CDS	DNA-bindng transcriptional repressor
ECB_02558	gutQ	CDS	predicted phosphosugar-binding protein
ECB_02559	ygaA	CDS	anaerobic nitric oxide reductase transcription regulator
ECB_02560	norV	CDS	anaerobic nitric oxide reductase flavorubredoxin
ECB_02561	ygbD	CDS	nitric oxide reductase
ECB_02562	hypF	CDS	carbamoyl phosphate phosphatase and maturation protein
ECB_02563	hydN	CDS	formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit
ECB_02564	ascG	CDS	DNA-binding transcriptional repressor
ECB_02565	ascF	CDS	fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component
ECB_02566	ascB	CDS	cryptic 6-phospho-beta-glucosidase
ECB_02567	hycI	CDS	protease
ECB_02568	hycH	CDS	HycH
ECB_02569	hycG	CDS	hydrogenase 3 and formate hydrogenase complex, HycG subunit
ECB_02570	hycF	CDS	formate hydrogenlyase complex iron-sulfur protein
ECB_02571	hycE	CDS	hydrogenase 3, large subunit
ECB_02572	hycD	CDS	hydrogenase 3, membrane subunit
ECB_02573	hycC	CDS	NADH dehydrogenase subunit N
ECB_02574	hycB	CDS	hydrogenase 3, Fe-S subunit
ECB_02575	hycA	CDS	regulator of the transcriptional regulator FhlA
ECB_02576	hypA	CDS	HypA
ECB_02577	hypB	CDS	HypB
ECB_02578	hypC	CDS	HypC
ECB_02579	hypD	CDS	HypD
ECB_02580	hypE	CDS	carbamoyl phosphate phosphatase, hydrogenase 3 maturation protein
ECB_02581	fhlA	CDS	DNA-binding transcriptional activator
ECB_02582	ygbA	CDS	hypothetical protein
ECB_02583	mutS	CDS	DNA mismatch repair protein
ECB_02584	pphB	CDS	serine/threonine-specific protein phosphatase 2
ECB_02585	ygbI	CDS	predicted DNA-binding transcriptional regulator
ECB_02586	ygbJ	CDS	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain
ECB_02587	ygbK	CDS	hypothetical protein
ECB_02588	ygbL	CDS	hypothetical protein
ECB_02589	ygbM	CDS	hypothetical protein
ECB_02590	ygbN	CDS	predicted transporter
ECB_02591	rpoS	CDS	RNA polymerase sigma factor
ECB_02592	nlpD	CDS	predicted outer membrane lipoprotein
ECB_02593	pcm	CDS	protein-L-isoaspartate O-methyltransferase
ECB_02594	surE	CDS	acid phosphatase
ECB_02595	ygbO	CDS	tRNA pseudouridine synthase D
ECB_02596	ispF	CDS	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ECB_02597	ispD	CDS	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ECB_02598	ftsB	CDS	cell divison protein FtsB
ECB_02599	ygbE	CDS	conserved inner membrane protein
ECB_02600	cysC	CDS	adenylylsulfate kinase
ECB_02601	cysN	CDS	sulfate adenylyltransferase subunit 1
ECB_02602	cysD	CDS	sulfate adenylyltransferase subunit 2
ECB_02603	iap	CDS	aminopeptidase in alkaline phosphatase isozyme conversion
ECB_02604	insL-5	CDS	putative transposase insL for insertion sequence IS186
ECB_02605	insK-3	CDS	IS150 putative transposase
ECB_02606	insJ-3	CDS	IS150 hypothetical protein
ECB_02607	cysH	CDS	phosphoadenosine phosphosulfate reductase
ECB_02608	cysI	CDS	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding
ECB_02609	cysJ	CDS	sulfite reductase, alpha subunit, flavoprotein
ECB_02610	ygcM	CDS	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)
ECB_02611	ygcN	CDS	predicted oxidoreductase with FAD/NAD(P)-binding domain
ECB_02612	ygcO	CDS	predicted 4Fe-4S cluster-containing protein
ECB_02613	ygcP	CDS	predicted anti-terminator regulatory protein
ECB_02614	ygcQ	CDS	predicted flavoprotein
ECB_02615	ygcR	CDS	predicted flavoprotein
ECB_02616	ygcS	CDS	predicted transporter
ECB_02617	ygcU	CDS	predicted FAD containing dehydrogenase
ECB_02618	ygcW	CDS	predicted deoxygluconate dehydrogenase
ECB_02619	yqcE	CDS	predicted transporter
ECB_02620	ygcE	CDS	predicted kinase
ECB_02621		CDS	conserved hypothetical protein
ECB_02622	ygcF	CDS	hypothetical protein
ECB_02623	ygcG	CDS	hypothetical protein
ECB_02624	eno	CDS	phosphopyruvate hydratase
ECB_02625	pyrG	CDS	CTP synthetase
ECB_02626	mazG	CDS	nucleoside triphosphate pyrophosphohydrolase
ECB_02627	chpA	CDS	toxin of the ChpA-ChpR toxin-antitoxin system, endoribonuclease
ECB_02628	chpR	CDS	antitoxin of the ChpA-ChpR toxin-antitoxin system
ECB_02629	relA	CDS	(p)ppGpp synthetase I/GTP pyrophosphokinase
ECB_02630	rumA	CDS	23S rRNA (uracil-5-)-methyltransferase
ECB_02631	barA	CDS	hybrid sensory histidine kinase, in two-component regulatory system with UvrY
ECB_02632	gudD	CDS	(D)-glucarate dehydratase 1
ECB_02633	gudX	CDS	predicted glucarate dehydratase
ECB_02634	gudP	CDS	predicted D-glucarate transporter
ECB_02635	yqcA	CDS	flavodoxin
ECB_02636	yqcB	CDS	tRNA pseudouridine synthase
ECB_02637	yqcC	CDS	hypothetical protein
ECB_02638	syd	CDS	SecY interacting protein Syd
ECB_02639	yqcD	CDS	hypothetical protein
ECB_02640	ygdH	CDS	hypothetical protein
ECB_02641	sdaC	CDS	predicted serine transporter
ECB_02642	sdaB	CDS	L-serine deaminase II
ECB_02643	xni	CDS	exonuclease IX
ECB_02644	fucO	CDS	L-1,2-propanediol oxidoreductase
ECB_02646	insB-21	CDS	IS1 protein InsB
ECB_02647	insA-21	CDS	IS1 protein InsA
ECB_02648		CDS	L-fuculose phosphate aldolase
ECB_02649		CDS	L-ribulokinase AraB-like protein
ECB_02650		CDS	D-ribose-binding periplasmic protein
ECB_02651		CDS	Ribose transport system permease protein rbsC
ECB_02652		CDS	conserved hypothetical protein
ECB_02653	fucI	CDS	L-fucose isomerase
ECB_02654	fucK	CDS	L-fuculokinase
ECB_02655	fucU	CDS	L-fucose mutarotase
ECB_02656	fucR	CDS	DNA-binding transcriptional activator
ECB_02657	ygdE	CDS	predicted methyltransferase
ECB_02658	ygdD	CDS	conserved inner membrane protein
ECB_02659	gcvA	CDS	DNA-binding transcriptional dual regulator
ECB_02660	ygdI	CDS	hypothetical protein
ECB_02661	csdA	CDS	cysteine sulfinate desulfinase
ECB_02662	ygdK	CDS	predicted Fe-S metabolism protein
ECB_02663	ygdL	CDS	hypothetical protein
ECB_02664	mltA	CDS	membrane-bound lytic murein transglycosylase A
ECB_02665	amiC	CDS	N-acetylmuramoyl-L-alanine amidase
ECB_02666	argA	CDS	N-acetylglutamate synthase
ECB_02667	recD	CDS	exonuclease V (RecBCD complex), alpha chain
ECB_02668	recB	CDS	exonuclease V (RecBCD complex), beta subunit
ECB_02669	ptr	CDS	protease III
ECB_02670	recC	CDS	exonuclease V (RecBCD complex), gamma chain
ECB_02671	ppdC	CDS	hypothetical protein
ECB_02672	ygdB	CDS	hypothetical protein
ECB_02673	ppdB	CDS	hypothetical protein
ECB_02674	ppdA	CDS	hypothetical protein
ECB_02675	thyA	CDS	thymidylate synthase
ECB_02676	lgt	CDS	prolipoprotein diacylglyceryl transferase
ECB_02677	ptsP	CDS	fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein
ECB_02678	ygdP	CDS	dinucleoside polyphosphate hydrolase
ECB_02679	mutH	CDS	DNA mismatch repair protein
ECB_02680	ygdQ	CDS	predicted inner membrane protein
ECB_02681	ygdR	CDS	hypothetical protein
ECB_02682	tas	CDS	predicted oxidoreductase, NADP(H)-dependent aldo-keto reductase
ECB_02683	ygeD	CDS	predicted inner membrane protein
ECB_02684	aas	CDS	2-acyl-glycerophospho-ethanolamine acyltransferase
ECB_02685	galR	CDS	DNA-binding transcriptional repressor
ECB_02686	lysA	CDS	diaminopimelate decarboxylase, PLP-binding
ECB_02687	lysR	CDS	DNA-binding transcriptional dual regulator
ECB_02688	ygeA	CDS	predicted racemase
ECB_02689	araE	CDS	arabinose transporter
ECB_02690	kduD	CDS	2-deoxy-D-gluconate 3-dehydrogenase
ECB_02691	kduI	CDS	5-keto-4-deoxyuronate isomerase
ECB_02692	yqeF	CDS	acetyl-CoA acetyltransferase
ECB_02693	yqeG	CDS	predicted transporter
ECB_02694	yqeH	CDS	conserved hypothetical protein with bipartite regulator domain
ECB_02695	insE-5	CDS	putative transposase-related protein
ECB_02696	insF-5	CDS	putative transposase for IS3
ECB_02697	ygeQ	CDS	hypothetical protein
ECB_02698	ygeR	CDS	Tetratricopeptide repeat transcriptional regulator
ECB_02699	xdhA	CDS	xanthine dehydrogenase, molybdenum binding subunit
ECB_02700	xdhB	CDS	xanthine dehydrogenase, FAD-binding subunit
ECB_02701	xdhC	CDS	xanthine dehydrogenase, Fe-S binding subunit
ECB_02702	ygeV	CDS	predicted DNA-binding transcriptional regulator
ECB_02703	ygeW	CDS	hypothetical protein
ECB_02704	ygeX	CDS	diaminopropionate ammonia-lyase
ECB_02705	ygeY	CDS	hypothetical protein
ECB_02706	ygeZ	CDS	dihydropyrimidinase
ECB_02707	yqeA	CDS	predicted amino acid kinase
ECB_02708	yqeB	CDS	conserved hypothetical protein with NAD(P)-binding Rossman fold
ECB_02709	yqeC	CDS	hypothetical protein
ECB_02710	ygfJ	CDS	hypothetical protein
ECB_02711	ygfK	CDS	predicted oxidoreductase, Fe-S subunit
ECB_02712	ssnA	CDS	putative chlorohydrolase/aminohydrolase
ECB_02713	ygfM	CDS	predicted oxidoreductase
ECB_02714	xdhD	CDS	fused predicted xanthine/hypoxanthine oxidase: molybdopterin-binding subunit/Fe-S binding subunit
ECB_02715	ygfO	CDS	predicted transporter
ECB_02716	guaD	CDS	guanine deaminase
ECB_02717	ygfQ	CDS	predicted transporter
ECB_02718	ygfS	CDS	predicted oxidoreductase, 4Fe-4S ferredoxin-type subunit
ECB_02719	ygfT	CDS	fused predicted oxidoreductase: Fe-S subunit/nucleotide-binding subunit
ECB_02720	ygfU	CDS	predicted transporter
ECB_02721	idi	CDS	isopentenyl-diphosphate delta-isomerase
ECB_02722	lysS	CDS	lysine tRNA synthetase, constitutive
ECB_02723	prfB	CDS	peptide chain release factor 2
ECB_02724	recJ	CDS	ssDNA exonuclease, 5' -> 3'-specific
